region,category,parameter,mode,powertrain,year,unit,value
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Percent,46549.57
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Vehicles,49519.19
Illinois,Passenger Vehicles,EV Stock,Cars,BEV,2019,Charging Point,21225.58
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2019,Charging Point,21466.38
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Charging Point,8101.14
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,24968.11
California,Passenger Vehicles,EV Sales,Cars,BEV,2023,Percent,47010.04
California,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Percent,8353.27
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2020,Charging Point,13397.01
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2022,Charging Point,44576.76
Georgia,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,31358.89
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Charging Point,16592.31
Arizona,Passenger Vehicles,EV Stock,Cars,BEV,2020,Vehicles,40655.97
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Charging Point,5537.31
New York,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,42931.73
Texas,Passenger Vehicles,EV Sales,Buses,BEV,2019,Percent,25948.28
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,37871.03
New York,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Charging Point,25967.74
Nevada,Commercial Vehicles,EV Sales,Buses,PHEV,2023,Vehicles,12389.02
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,32078.35
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Vehicles,7824.08
Illinois,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Charging Point,11570.53
California,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Charging Point,27511.35
California,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Vehicles,19560.18
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,37285.59
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,29220.27
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2021,Vehicles,19128.62
California,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Percent,16403.82
Washington,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Percent,45670.81
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2019,Charging Point,2100.12
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2019,Vehicles,34582.45
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Percent,19655.74
California,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,18930.15
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2023,Percent,32628.65
Illinois,Commercial Vehicles,EV Stock,Buses,PHEV,2021,Charging Point,42538.19
Nevada,Commercial Vehicles,EV Sales,Bikes,PHEV,2020,Vehicles,36248.17
Nevada,Passenger Vehicles,EV Sales,Vans,BEV,2022,Charging Point,33538.55
Washington,Passenger Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,24860.5
Colorado,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Charging Point,23512.01
Texas,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Vehicles,23089.69
Colorado,Passenger Vehicles,EV Sales,Vans,BEV,2019,Percent,7357.83
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,28019.2
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,15841.67
Georgia,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Percent,30949.57
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2023,Charging Point,26763.33
Arizona,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Percent,47002.22
California,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Percent,21803.01
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,33253.42
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2021,Vehicles,29680.85
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Vehicles,34251.3
Nevada,Commercial Vehicles,EV Stock,Vans,BEV,2019,Percent,13422.05
Georgia,Passenger Vehicles,EV Sales,Bikes,BEV,2018,Percent,12936.72
Arizona,Passenger Vehicles,EV Sales,Vans,BEV,2024,Vehicles,28027.93
Illinois,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Percent,42468.17
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,36028.43
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2024,Percent,24497.84
New York,Commercial Vehicles,EV Stock,Vans,BEV,2020,Vehicles,12829.21
Washington,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,37991.43
Texas,Commercial Vehicles,EV Sales,Vans,BEV,2021,Charging Point,46319.69
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2020,Vehicles,10729.71
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Percent,39974.78
Florida,Passenger Vehicles,EV Stock,Vans,BEV,2019,Vehicles,8705.03
Arizona,Commercial Vehicles,EV Sales,Vans,BEV,2020,Charging Point,45049.07
New York,Passenger Vehicles,EV Stock,Vans,BEV,2022,Vehicles,32138.29
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,9132.4
Georgia,Commercial Vehicles,EV Stock,Cars,BEV,2022,Charging Point,1909.35
Arizona,Commercial Vehicles,EV Sales,Bikes,BEV,2023,Vehicles,34761.35
California,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Vehicles,30344.48
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2023,Charging Point,30604.76
New York,Commercial Vehicles,EV Sales,Bikes,BEV,2021,Percent,24164.87
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Percent,30760.71
New York,Commercial Vehicles,EV Sales,Buses,BEV,2023,Charging Point,43673.83
Illinois,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Percent,47604.88
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,17290.95
Georgia,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Charging Point,24444.81
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2020,Charging Point,13724.09
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,20638.11
Arizona,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Vehicles,39814.84
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Vehicles,21306.96
California,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,19642.86
Florida,Commercial Vehicles,EV Stock,Vans,BEV,2021,Vehicles,42520.54
Nevada,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Percent,163.49
Colorado,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Percent,42624.19
Texas,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,9152.26
California,Commercial Vehicles,EV Sales,Vans,BEV,2018,Vehicles,13798.15
Georgia,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Charging Point,18144.29
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,44044.55
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2020,Vehicles,45443.21
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Vehicles,33092.81
Georgia,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Charging Point,22028.2
Texas,Passenger Vehicles,EV Sales,Cars,BEV,2021,Percent,25854.78
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2019,Charging Point,29062.04
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Vehicles,47704.14
New York,Passenger Vehicles,EV Stock,Buses,BEV,2024,Vehicles,48461.44
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Percent,42381.91
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Vehicles,29228.06
California,Commercial Vehicles,EV Stock,Cars,BEV,2022,Charging Point,19597.65
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,11590.97
Colorado,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,26769.35
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,17346.98
Colorado,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,3729.95
Georgia,Passenger Vehicles,EV Stock,Vans,BEV,2018,Charging Point,23863.42
Colorado,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,28597.2
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Charging Point,30604.63
Florida,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Percent,3783.31
Illinois,Passenger Vehicles,EV Sales,Buses,BEV,2024,Percent,24207.2
California,Passenger Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,32830.06
California,Commercial Vehicles,EV Stock,Vans,BEV,2023,Percent,48057.1
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Percent,1349.79
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Percent,33846.49
Texas,Commercial Vehicles,EV Sales,Buses,BEV,2019,Percent,3210.64
Florida,Passenger Vehicles,EV Sales,Bikes,BEV,2024,Vehicles,8026.29
Texas,Passenger Vehicles,EV Stock,Bikes,BEV,2023,Charging Point,8748.07
Illinois,Commercial Vehicles,EV Stock,Buses,PHEV,2022,Percent,16510.73
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2021,Vehicles,41581.82
California,Commercial Vehicles,EV Stock,Buses,BEV,2023,Percent,42826.24
Illinois,Commercial Vehicles,EV Stock,Buses,BEV,2019,Vehicles,18810.1
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Charging Point,21622.01
California,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Vehicles,10929.83
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,21682.44
Washington,Commercial Vehicles,EV Stock,Bikes,PHEV,2020,Vehicles,13814.24
Florida,Commercial Vehicles,EV Stock,Vans,BEV,2019,Vehicles,8826.64
Georgia,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Percent,8007.56
Illinois,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Percent,38804.79
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Vehicles,5935.62
Nevada,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Vehicles,30840.12
Arizona,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Vehicles,8457.35
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2023,Charging Point,41908.19
Washington,Commercial Vehicles,EV Stock,Cars,BEV,2021,Vehicles,13795.91
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2023,Charging Point,2340.18
Colorado,Commercial Vehicles,EV Sales,Buses,PHEV,2023,Charging Point,22658.45
Arizona,Commercial Vehicles,EV Sales,Bikes,PHEV,2023,Charging Point,49989.88
Florida,Commercial Vehicles,EV Sales,Buses,BEV,2023,Charging Point,40675.54
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,28556.1
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2018,Charging Point,9553
Florida,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Charging Point,5963.5
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Vehicles,41943.67
Illinois,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Charging Point,39406.6
New York,Passenger Vehicles,EV Sales,Vans,BEV,2018,Vehicles,23163.21
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2022,Vehicles,21128.34
Texas,Passenger Vehicles,EV Sales,Cars,BEV,2023,Charging Point,37458.77
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2021,Vehicles,26848.28
Georgia,Passenger Vehicles,EV Stock,Buses,PHEV,2019,Vehicles,20268.05
Colorado,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Charging Point,12660.87
California,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Vehicles,6215.92
Georgia,Passenger Vehicles,EV Stock,Cars,BEV,2022,Vehicles,29780.19
New York,Passenger Vehicles,EV Stock,Vans,BEV,2018,Percent,41319.84
Washington,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Percent,37334.54
Nevada,Passenger Vehicles,EV Stock,Cars,BEV,2021,Charging Point,34846.29
Illinois,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,46449.72
Illinois,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,19786.39
Nevada,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Charging Point,6947.16
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,5187.26
California,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Percent,47755.1
Colorado,Commercial Vehicles,EV Sales,Bikes,PHEV,2021,Percent,29489.31
New York,Commercial Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,40558.58
Florida,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Percent,26824.44
Georgia,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,19984.87
California,Commercial Vehicles,EV Sales,Buses,BEV,2023,Percent,10093.46
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,42834.78
New York,Passenger Vehicles,EV Sales,Cars,BEV,2020,Charging Point,3269.41
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2022,Charging Point,45021.62
Texas,Passenger Vehicles,EV Sales,Buses,BEV,2018,Vehicles,10330.14
California,Commercial Vehicles,EV Sales,Cars,BEV,2021,Percent,575.6
Washington,Commercial Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,5284.47
New York,Passenger Vehicles,EV Stock,Bikes,BEV,2019,Charging Point,44187.08
New York,Commercial Vehicles,EV Sales,Vans,BEV,2024,Charging Point,3777.99
Nevada,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Percent,17826.51
Washington,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,12590.8
Colorado,Commercial Vehicles,EV Sales,Buses,BEV,2024,Percent,1939.05
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Charging Point,26620.2
Florida,Passenger Vehicles,EV Stock,Buses,BEV,2024,Vehicles,49916.81
Illinois,Passenger Vehicles,EV Sales,Vans,BEV,2019,Vehicles,42665.07
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2024,Percent,8527.74
Colorado,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,44227.37
Washington,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,22644.49
New York,Commercial Vehicles,EV Sales,Vans,BEV,2018,Percent,13735.2
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Charging Point,32051.26
New York,Passenger Vehicles,EV Stock,Buses,BEV,2023,Charging Point,10913.07
Colorado,Passenger Vehicles,EV Sales,Vans,BEV,2020,Charging Point,43994.62
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Percent,31246.79
Georgia,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,6887.49
Colorado,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Percent,28575.38
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2019,Charging Point,25567.52
Colorado,Commercial Vehicles,EV Stock,Bikes,PHEV,2020,Percent,23625.63
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Percent,18312.3
Texas,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,23762.86
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Percent,29341.97
Nevada,Passenger Vehicles,EV Sales,Buses,BEV,2023,Vehicles,36705.11
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2018,Charging Point,45901.99
Illinois,Passenger Vehicles,EV Stock,Buses,BEV,2018,Charging Point,2314.77
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Percent,28510.27
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Charging Point,37623.5
Nevada,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,5866.15
Illinois,Commercial Vehicles,EV Stock,Bikes,BEV,2024,Percent,45583.74
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Charging Point,12324.99
California,Passenger Vehicles,EV Sales,Buses,BEV,2024,Charging Point,41683.26
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2022,Charging Point,33134.13
Washington,Passenger Vehicles,EV Stock,Bikes,BEV,2023,Vehicles,28021.38
New York,Commercial Vehicles,EV Stock,Cars,BEV,2021,Charging Point,43475.19
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2018,Percent,48464.8
New York,Passenger Vehicles,EV Sales,Vans,BEV,2018,Percent,49856.83
Washington,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Charging Point,34195.72
Washington,Passenger Vehicles,EV Sales,Vans,PHEV,2024,Percent,17022.64
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2019,Percent,43747.49
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,32751.98
California,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Percent,16234.13
Nevada,Passenger Vehicles,EV Stock,Bikes,PHEV,2021,Charging Point,46625
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2018,Percent,37407.75
New York,Commercial Vehicles,EV Stock,Vans,BEV,2020,Vehicles,22696.11
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2021,Vehicles,22779.08
California,Commercial Vehicles,EV Sales,Buses,BEV,2019,Vehicles,49796.84
Colorado,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Charging Point,18748.08
Colorado,Commercial Vehicles,EV Sales,Buses,BEV,2021,Percent,4794.63
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Charging Point,26974.22
Georgia,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Percent,44254.22
Florida,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Percent,29267.54
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Percent,39675.06
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Percent,2837.75
Illinois,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Percent,33702.4
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2022,Charging Point,4051.79
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2019,Charging Point,27862.2
New York,Commercial Vehicles,EV Sales,Buses,BEV,2020,Vehicles,24938.6
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2021,Charging Point,47285.66
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Vehicles,6709.97
Georgia,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Vehicles,573.62
Illinois,Commercial Vehicles,EV Sales,Vans,BEV,2019,Percent,6954
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Charging Point,8618.24
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2020,Charging Point,12620.48
Florida,Commercial Vehicles,EV Sales,Buses,BEV,2020,Percent,40772.93
Texas,Passenger Vehicles,EV Stock,Cars,BEV,2018,Percent,18906.35
Arizona,Commercial Vehicles,EV Sales,Buses,PHEV,2020,Vehicles,42053.8
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2020,Charging Point,13669.5
California,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Charging Point,43041
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,503.71
California,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Vehicles,46733.32
Washington,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Vehicles,37327.86
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2024,Percent,20695.25
Washington,Passenger Vehicles,EV Sales,Cars,BEV,2024,Vehicles,28909.02
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Vehicles,46657.54
Nevada,Passenger Vehicles,EV Stock,Cars,BEV,2023,Percent,29169.76
New York,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,11505.57
Arizona,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,28686.41
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Charging Point,43585.22
Colorado,Commercial Vehicles,EV Sales,Bikes,BEV,2023,Vehicles,49373.75
Texas,Passenger Vehicles,EV Sales,Buses,BEV,2018,Vehicles,29245.76
Illinois,Passenger Vehicles,EV Stock,Buses,PHEV,2018,Percent,7866.69
Nevada,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,38610.45
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2019,Charging Point,49845.88
Florida,Commercial Vehicles,EV Sales,Cars,BEV,2022,Charging Point,23734.43
Florida,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Percent,19248.27
Texas,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,27669.78
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Percent,8321.83
California,Passenger Vehicles,EV Sales,Vans,BEV,2020,Charging Point,48567.04
Nevada,Passenger Vehicles,EV Sales,Vans,BEV,2020,Charging Point,41932.9
California,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,5738.24
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2021,Percent,47259.57
Nevada,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Vehicles,47146.69
California,Commercial Vehicles,EV Stock,Vans,BEV,2022,Percent,15886.1
Nevada,Passenger Vehicles,EV Stock,Vans,BEV,2019,Vehicles,30995.19
Georgia,Commercial Vehicles,EV Sales,Buses,BEV,2019,Charging Point,5626.64
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,4301.15
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Charging Point,25139.55
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2019,Percent,2578.94
Florida,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Percent,43757.09
New York,Commercial Vehicles,EV Sales,Cars,BEV,2021,Charging Point,46411.96
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Vehicles,3458.59
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,2459.51
California,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Vehicles,11148.75
Nevada,Passenger Vehicles,EV Sales,Buses,BEV,2019,Charging Point,46504.92
New York,Commercial Vehicles,EV Sales,Buses,BEV,2020,Charging Point,38473.83
Georgia,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Percent,33857.24
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2018,Vehicles,38839.73
Georgia,Commercial Vehicles,EV Sales,Vans,BEV,2020,Vehicles,10053.89
Texas,Commercial Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,12903.76
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Vehicles,15949.67
Florida,Passenger Vehicles,EV Stock,Vans,BEV,2022,Charging Point,30292.79
California,Commercial Vehicles,EV Sales,Vans,BEV,2018,Charging Point,30450.18
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Vehicles,10509.53
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2018,Vehicles,21892.69
Arizona,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,34531.99
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,15550
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2021,Vehicles,3866.31
Texas,Commercial Vehicles,EV Sales,Vans,BEV,2022,Vehicles,9949.76
Florida,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Vehicles,8320.31
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2021,Percent,31633.95
New York,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Percent,3520.59
California,Commercial Vehicles,EV Sales,Buses,BEV,2022,Charging Point,44249
Washington,Commercial Vehicles,EV Stock,Cars,PHEV,2021,Charging Point,4310.92
Illinois,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Percent,29935.7
Illinois,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Charging Point,46483.68
Florida,Passenger Vehicles,EV Stock,Buses,BEV,2021,Percent,3214.9
Nevada,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,19216.93
New York,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,16464.5
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,17276.02
Illinois,Passenger Vehicles,EV Sales,Vans,BEV,2018,Percent,30055.54
New York,Passenger Vehicles,EV Stock,Cars,BEV,2018,Percent,13178.94
California,Passenger Vehicles,EV Stock,Buses,BEV,2018,Percent,1463.42
Georgia,Passenger Vehicles,EV Stock,Vans,BEV,2023,Percent,48117.52
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2024,Vehicles,37463.92
Texas,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Vehicles,6842.87
New York,Passenger Vehicles,EV Sales,Buses,BEV,2022,Percent,22812.33
California,Passenger Vehicles,EV Stock,Vans,BEV,2022,Percent,3229.81
Colorado,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,1490.03
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2020,Vehicles,2470.84
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Vehicles,37813.31
Washington,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Percent,22301.71
Colorado,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,42235.41
California,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,15330.23
Illinois,Commercial Vehicles,EV Stock,Cars,BEV,2018,Charging Point,38788.55
Washington,Commercial Vehicles,EV Sales,Buses,PHEV,2019,Charging Point,3988.93
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2019,Vehicles,31791.9
Florida,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,18094.04
Arizona,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Charging Point,13908.57
New York,Passenger Vehicles,EV Sales,Buses,BEV,2022,Charging Point,40773.94
Illinois,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Vehicles,2690.91
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Percent,47481.62
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2019,Charging Point,39298.72
New York,Passenger Vehicles,EV Sales,Vans,BEV,2019,Vehicles,17844.9
Florida,Passenger Vehicles,EV Stock,Cars,BEV,2020,Charging Point,49567.52
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,10204.21
Arizona,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,20180.46
California,Commercial Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,44255.49
Florida,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Percent,49840.67
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2021,Charging Point,12031.73
Colorado,Commercial Vehicles,EV Sales,Vans,BEV,2024,Charging Point,37181.36
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Charging Point,15355.89
Colorado,Commercial Vehicles,EV Sales,Vans,BEV,2018,Vehicles,38346.99
Nevada,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Vehicles,6351.67
Nevada,Passenger Vehicles,EV Stock,Vans,BEV,2023,Vehicles,16874.88
