region,category,parameter,mode,powertrain,year,unit,value,total_vehicles_sold
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2018,Charging Point,559.46,4040
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Charging Point,20209.16,23924
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Charging Point,14103.8,21051
Washington,Commercial Vehicles,EV Sales,Bikes,BEV,2023,Charging Point,24032.47,269
Arizona,Commercial Vehicles,EV Sales,Cars,BEV,2020,Percent,23192.28,15953
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Percent,45285.92,40173
Texas,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Charging Point,9260.71,5716
New York,Commercial Vehicles,EV Sales,Cars,BEV,2023,Vehicles,9191.34,758
Nevada,Passenger Vehicles,EV Sales,Buses,BEV,2020,Vehicles,5492.53,9913
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,36958.69,12578
Washington,Passenger Vehicles,EV Stock,Vans,BEV,2020,Percent,45901.23,20944
Nevada,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,18488.35,25778
Nevada,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,3184.94,3599
California,Commercial Vehicles,EV Sales,Cars,BEV,2021,Vehicles,7885.47,9228
Florida,Passenger Vehicles,EV Sales,Bikes,BEV,2024,Vehicles,5208.97,8003
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Percent,29657.77,8690
New York,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,14186.66,5315
Colorado,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Charging Point,44882.64,2119
California,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Percent,8197.91,3978
Nevada,Passenger Vehicles,EV Sales,Cars,BEV,2024,Vehicles,46514.78,14076
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2021,Charging Point,16703.67,1687
Georgia,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Percent,43378.56,25102
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Charging Point,47454.89,14140
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,49319.54,2815
Georgia,Commercial Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,40199.31,4432
Illinois,Passenger Vehicles,EV Sales,Cars,BEV,2022,Vehicles,5174.16,4183
Nevada,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Charging Point,2863.4,25136
Washington,Passenger Vehicles,EV Stock,Vans,BEV,2024,Percent,37012.48,19551
Texas,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,44862.28,11080
Nevada,Passenger Vehicles,EV Sales,Buses,BEV,2018,Charging Point,8386.24,33643
California,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Charging Point,47059.27,1047
Florida,Commercial Vehicles,EV Sales,Buses,BEV,2023,Vehicles,30550.37,5941
Georgia,Commercial Vehicles,EV Stock,Cars,BEV,2019,Charging Point,6288.06,858
New York,Commercial Vehicles,EV Stock,Vans,BEV,2023,Charging Point,8434.98,8968
Colorado,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Charging Point,3391.18,12513
New York,Commercial Vehicles,EV Stock,Vans,BEV,2020,Percent,7246.44,21233
Nevada,Commercial Vehicles,EV Sales,Vans,BEV,2021,Charging Point,36632.98,22777
California,Commercial Vehicles,EV Sales,Buses,BEV,2018,Charging Point,11016.44,3066
Nevada,Passenger Vehicles,EV Sales,Buses,BEV,2018,Vehicles,28126.54,11473
Florida,Passenger Vehicles,EV Stock,Bikes,BEV,2018,Charging Point,36081.96,8075
Washington,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Charging Point,44774.36,7529
Colorado,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Vehicles,29537.35,7888
Florida,Commercial Vehicles,EV Sales,Cars,BEV,2024,Charging Point,28528.9,2422
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,45649.87,7365
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Percent,14815.75,432
Nevada,Commercial Vehicles,EV Sales,Buses,BEV,2018,Percent,10264.71,18613
California,Commercial Vehicles,EV Stock,Vans,BEV,2023,Charging Point,43652.52,2230
Florida,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Percent,3818.7,31456
Arizona,Commercial Vehicles,EV Sales,Bikes,BEV,2021,Charging Point,9565.14,21475
California,Commercial Vehicles,EV Sales,Cars,BEV,2020,Percent,20621.53,3447
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2021,Charging Point,18126.4,4556
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Percent,35333.99,6208
Nevada,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Charging Point,4681.17,26091
Illinois,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Vehicles,23910.18,16857
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Vehicles,40446.89,22052
Colorado,Commercial Vehicles,EV Sales,Vans,BEV,2021,Charging Point,34198.84,51561
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2022,Percent,31619.29,6848
Illinois,Commercial Vehicles,EV Stock,Vans,BEV,2024,Vehicles,12044.06,754
Nevada,Commercial Vehicles,EV Sales,Bikes,BEV,2024,Percent,19742.27,10552
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Percent,9118.1,22678
Illinois,Passenger Vehicles,EV Stock,Vans,BEV,2019,Vehicles,25495.36,18425
Colorado,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,29250,42577
California,Commercial Vehicles,EV Stock,Buses,BEV,2024,Percent,31595.94,5163
Arizona,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Charging Point,43810.19,6483
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2022,Vehicles,3185.31,6272
Arizona,Passenger Vehicles,EV Sales,Vans,BEV,2020,Charging Point,19476.79,7676
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2019,Charging Point,29589.44,6295
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2021,Vehicles,28549.13,2279
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Charging Point,1183.04,3846
Florida,Passenger Vehicles,EV Sales,Cars,BEV,2022,Charging Point,9546.52,455
Arizona,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Charging Point,42302.66,15949
Florida,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Charging Point,25818.05,1797
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2023,Percent,20736.59,36212
Colorado,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,45018.75,21202
Washington,Commercial Vehicles,EV Sales,Vans,BEV,2023,Charging Point,3840.11,5135
California,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Charging Point,46123.29,4657
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2024,Charging Point,1486.39,23618
Colorado,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Percent,28177.25,15267
Washington,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Percent,27799.05,10575
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2024,Percent,31989.51,35215
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2024,Vehicles,1578.35,5833
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2023,Vehicles,26572.89,782
Washington,Commercial Vehicles,EV Stock,Cars,PHEV,2021,Percent,5769.34,15252
New York,Passenger Vehicles,EV Sales,Cars,BEV,2018,Vehicles,7883.36,20180
Colorado,Commercial Vehicles,EV Stock,Cars,BEV,2019,Percent,10846.21,31886
Texas,Passenger Vehicles,EV Stock,Bikes,BEV,2021,Charging Point,30697.54,5199
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Percent,19565.42,10465
Arizona,Passenger Vehicles,EV Stock,Buses,PHEV,2023,Percent,4358.34,229
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2021,Vehicles,14521.76,6769
Florida,Passenger Vehicles,EV Sales,Buses,BEV,2018,Percent,3923.4,8441
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,33239.96,4752
Washington,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Percent,27917.52,2261
Colorado,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Percent,20443.54,3887
Arizona,Commercial Vehicles,EV Sales,Cars,BEV,2020,Percent,46391.07,365
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Percent,25984.38,15492
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2018,Vehicles,44388.02,1744
Florida,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Vehicles,28996.34,27614
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,18901.97,18223
Nevada,Passenger Vehicles,EV Stock,Buses,BEV,2021,Percent,26995.94,4026
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2020,Charging Point,7677.93,5304
California,Passenger Vehicles,EV Stock,Cars,BEV,2021,Vehicles,33770.2,3979
Georgia,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,49108.45,22142
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2018,Vehicles,12447.16,16601
Georgia,Passenger Vehicles,EV Stock,Buses,PHEV,2018,Charging Point,16227.56,11124
Colorado,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Percent,20363.97,32422
Georgia,Passenger Vehicles,EV Sales,Vans,BEV,2024,Percent,24225.78,6616
Colorado,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,35983.24,690
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2024,Charging Point,6919.99,12634
New York,Passenger Vehicles,EV Sales,Bikes,BEV,2020,Percent,15193.03,20201
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2022,Percent,26979.66,27230
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Percent,29519.91,3881
Washington,Passenger Vehicles,EV Sales,Buses,BEV,2021,Vehicles,26877.85,8047
Florida,Passenger Vehicles,EV Stock,Buses,BEV,2024,Charging Point,21830.9,10775
California,Commercial Vehicles,EV Sales,Bikes,PHEV,2021,Vehicles,35602.61,7240
California,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Charging Point,10303.29,6600
Florida,Passenger Vehicles,EV Stock,Cars,BEV,2022,Vehicles,14208.11,2500
Nevada,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Percent,22279.73,4880
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Charging Point,34805.6,17993
Nevada,Commercial Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,4209.31,1888
Colorado,Commercial Vehicles,EV Stock,Cars,PHEV,2018,Percent,5871.98,25859
Colorado,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Percent,39142.18,25164
Texas,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Charging Point,13121.65,4192
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,48177.99,4245
California,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Percent,48074.11,5016
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2024,Charging Point,34328.65,26011
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Charging Point,35871.97,17267
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2021,Percent,32584.91,17945
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2024,Vehicles,8948.81,44349
Colorado,Passenger Vehicles,EV Stock,Cars,BEV,2021,Charging Point,25072.74,892
Washington,Passenger Vehicles,EV Sales,Bikes,BEV,2024,Percent,39671.51,6278
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2020,Percent,38756.44,1004
California,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Percent,44948.66,18017
Texas,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,45049.83,24430
Nevada,Commercial Vehicles,EV Sales,Bikes,PHEV,2021,Vehicles,13148.12,41439
Texas,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Charging Point,36113.85,5040
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Charging Point,32601.86,9141
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Percent,44302.93,6628
Illinois,Passenger Vehicles,EV Stock,Cars,BEV,2021,Charging Point,9255.37,7029
Nevada,Passenger Vehicles,EV Sales,Vans,PHEV,2019,Percent,37015.65,6117
Nevada,Commercial Vehicles,EV Sales,Bikes,BEV,2024,Charging Point,21224.27,2061
Nevada,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,19784.83,4196
Texas,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Vehicles,1885.97,411
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2020,Percent,48076.87,14823
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Charging Point,33820.85,1760
Nevada,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,29576.04,28856
Washington,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Charging Point,12633.17,19656
California,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Percent,32956.43,3952
California,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Charging Point,47285.58,4449
Texas,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,8248.06,4234
Nevada,Passenger Vehicles,EV Stock,Cars,BEV,2021,Charging Point,49192.05,21837
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2018,Vehicles,21428.72,14603
Florida,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Charging Point,48913.63,17295
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Percent,31729.99,30727
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2019,Percent,16272.93,756
Georgia,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Charging Point,18784.75,5397
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2021,Charging Point,14598.69,703
Illinois,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Vehicles,16805.37,11765
Colorado,Commercial Vehicles,EV Stock,Cars,BEV,2024,Percent,32362.14,15819
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2024,Charging Point,928.59,18758
New York,Passenger Vehicles,EV Stock,Cars,BEV,2023,Percent,48384.79,32464
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Percent,38449.55,3985
Arizona,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Charging Point,47056.36,8054
Nevada,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Charging Point,35905.4,7764
Nevada,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Charging Point,24103.58,8324
Texas,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Charging Point,9567.4,6322
Georgia,Passenger Vehicles,EV Sales,Vans,BEV,2022,Vehicles,25864.45,2589
Nevada,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Charging Point,35613.61,5119
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2019,Vehicles,42723.72,485
New York,Passenger Vehicles,EV Sales,Vans,BEV,2023,Charging Point,16274.14,18638
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2022,Percent,25572.99,2439
California,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,31037.05,26082
Illinois,Commercial Vehicles,EV Stock,Vans,BEV,2019,Vehicles,29470.78,21547
Texas,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Charging Point,2713.4,3574
Texas,Passenger Vehicles,EV Sales,Buses,BEV,2023,Charging Point,24221.35,5388
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Percent,40470.66,4670
Washington,Passenger Vehicles,EV Sales,Buses,BEV,2022,Percent,40134.96,28169
Georgia,Commercial Vehicles,EV Stock,Cars,BEV,2023,Vehicles,25406.4,24727
Washington,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Charging Point,47622.58,14745
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Charging Point,41328.89,42854
California,Commercial Vehicles,EV Sales,Vans,BEV,2020,Percent,36892.61,6358
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2022,Vehicles,25828.48,999
California,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,29574.75,12430
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,11239.44,18370
Washington,Commercial Vehicles,EV Stock,Cars,BEV,2019,Vehicles,26667.11,22131
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2021,Vehicles,26348.49,329
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Percent,10217.85,34186
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Percent,47562.3,4596
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Charging Point,12313.13,8955
Illinois,Commercial Vehicles,EV Stock,Cars,BEV,2021,Vehicles,5300.7,7229
Georgia,Passenger Vehicles,EV Sales,Vans,BEV,2019,Vehicles,23403.76,7022
Florida,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Vehicles,34335.07,5840
Illinois,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,9838.08,2482
Georgia,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Charging Point,9226.29,5558
Illinois,Commercial Vehicles,EV Stock,Bikes,BEV,2019,Vehicles,13147.37,14861
Washington,Passenger Vehicles,EV Stock,Vans,BEV,2022,Vehicles,15205.6,1633
Georgia,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Vehicles,12385.38,28451
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,23587.86,21914
Texas,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,1011.33,3880
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2024,Vehicles,4467.08,3728
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2019,Percent,36495.29,4281
Nevada,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Vehicles,20675.76,22368
Illinois,Passenger Vehicles,EV Stock,Vans,BEV,2023,Percent,18079.83,9171
Colorado,Commercial Vehicles,EV Sales,Buses,PHEV,2020,Vehicles,621.19,10894
New York,Commercial Vehicles,EV Stock,Cars,BEV,2022,Percent,14981.07,35336
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,41077.2,1094
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Charging Point,17084.33,5315
Colorado,Passenger Vehicles,EV Sales,Cars,BEV,2020,Vehicles,48188.3,735
Nevada,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Vehicles,19558.95,9734
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Vehicles,23260.03,14377
Arizona,Commercial Vehicles,EV Sales,Cars,BEV,2018,Percent,40115.28,18659
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2022,Charging Point,49152.91,32143
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Percent,18642.68,4887
California,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Percent,6084.81,7999
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Percent,26200.56,8095
Arizona,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,29628.87,6994
California,Passenger Vehicles,EV Sales,Cars,BEV,2019,Percent,47976.88,6865
New York,Commercial Vehicles,EV Sales,Buses,BEV,2021,Percent,20754.73,2556
Florida,Passenger Vehicles,EV Stock,Cars,BEV,2018,Charging Point,4631.44,3785
Florida,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Vehicles,32581.64,416
Illinois,Passenger Vehicles,EV Stock,Buses,BEV,2019,Charging Point,1153.5,16609
New York,Passenger Vehicles,EV Stock,Bikes,BEV,2019,Vehicles,21328.37,1878
New York,Commercial Vehicles,EV Stock,Buses,BEV,2020,Charging Point,20541.37,25770
California,Commercial Vehicles,EV Sales,Buses,BEV,2022,Vehicles,12815.47,21218
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,48219.02,3565
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2019,Percent,20230.08,5095
California,Commercial Vehicles,EV Stock,Cars,BEV,2023,Charging Point,44745.89,4755
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,25804.02,22601
Florida,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Percent,41044.75,14819
Florida,Passenger Vehicles,EV Stock,Buses,BEV,2023,Charging Point,22624.62,12488
Illinois,Commercial Vehicles,EV Sales,Buses,BEV,2018,Vehicles,49577.71,35179
Texas,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,32037.45,119
Florida,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Vehicles,7881.76,1027
California,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Percent,420.9,5951
Texas,Passenger Vehicles,EV Sales,Bikes,BEV,2020,Charging Point,46452.13,943
California,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Vehicles,34371.36,11047
Georgia,Passenger Vehicles,EV Stock,Bikes,BEV,2019,Vehicles,5403.9,16157
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,37200,20789
Florida,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Charging Point,11434.72,436
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2023,Charging Point,40480.6,34515
Arizona,Commercial Vehicles,EV Stock,Cars,PHEV,2020,Charging Point,30535.14,4675
Georgia,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Vehicles,6270.63,8672
Colorado,Passenger Vehicles,EV Sales,Cars,BEV,2020,Percent,3640.36,6611
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Charging Point,23359.29,6751
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2024,Percent,46850.98,6134
Georgia,Passenger Vehicles,EV Stock,Vans,PHEV,2022,Percent,28275.17,2597
California,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Percent,37979.53,3650
California,Passenger Vehicles,EV Sales,Vans,BEV,2024,Charging Point,23526.72,15723
Nevada,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Percent,19265.62,1699
Texas,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Percent,41128.15,24829
Washington,Commercial Vehicles,EV Sales,Bikes,PHEV,2020,Vehicles,23222.99,21135
Colorado,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Charging Point,7162.98,3448
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Charging Point,13798.57,4437
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,28113.03,4320
Washington,Commercial Vehicles,EV Sales,Vans,BEV,2018,Charging Point,20188.6,24603
New York,Passenger Vehicles,EV Sales,Buses,BEV,2018,Charging Point,18383.01,14389
Illinois,Commercial Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,33471.34,10927
New York,Passenger Vehicles,EV Sales,Cars,BEV,2024,Percent,31852.39,36069
Georgia,Commercial Vehicles,EV Sales,Bikes,PHEV,2020,Vehicles,15769.9,950
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Percent,18035.39,5873
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2023,Charging Point,37628.12,910
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2022,Vehicles,46072.25,10547
Arizona,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Charging Point,16278.32,15534
Arizona,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,14664.69,22976
Georgia,Passenger Vehicles,EV Stock,Vans,BEV,2023,Percent,13337.47,375
Washington,Passenger Vehicles,EV Stock,Vans,BEV,2021,Percent,7161.19,30578
Illinois,Passenger Vehicles,EV Stock,Buses,BEV,2020,Percent,18920.99,4393
Illinois,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,25848.71,8471
Florida,Commercial Vehicles,EV Stock,Vans,PHEV,2019,Percent,26917.92,163
Arizona,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,34582.41,6820
Georgia,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Percent,2722.34,1069
Florida,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Percent,28114.3,7381
Texas,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Percent,12823.95,5189
Florida,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Percent,12032.26,2326
Washington,Commercial Vehicles,EV Sales,Buses,PHEV,2023,Charging Point,39507.32,3346
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2022,Percent,7758.51,391
New York,Passenger Vehicles,EV Sales,Cars,BEV,2023,Charging Point,16522.1,15285
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2020,Vehicles,31918.15,1739
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,32179.38,27755
Florida,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Charging Point,2499.59,11915
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2024,Vehicles,3720.69,3956
New York,Passenger Vehicles,EV Stock,Vans,BEV,2024,Percent,32802.63,4435
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Percent,47662.24,4010
California,Commercial Vehicles,EV Sales,Buses,BEV,2024,Percent,49925.31,23154
New York,Passenger Vehicles,EV Stock,Cars,BEV,2022,Vehicles,49356.78,14002
Washington,Passenger Vehicles,EV Sales,Vans,BEV,2024,Charging Point,17643.85,10811
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,12166.33,36082
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Vehicles,5022.6,427
Texas,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,16358.76,1030
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Charging Point,13915,5745
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,28882.13,809
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,18502.4,10766
Florida,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,11653.34,14064
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,30665.99,20553
Texas,Passenger Vehicles,EV Sales,Buses,BEV,2018,Vehicles,16221.08,578
Colorado,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Percent,17746.64,29214
California,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Percent,29962.18,4216
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,5999.11,8111
Illinois,Passenger Vehicles,EV Sales,Cars,BEV,2023,Charging Point,38735.03,183
Washington,Commercial Vehicles,EV Stock,Bikes,PHEV,2022,Percent,48275.18,7397
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2019,Percent,24592.25,1121
Arizona,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Charging Point,28036.96,7557
Illinois,Passenger Vehicles,EV Stock,Vans,BEV,2018,Charging Point,19293.68,5334
Illinois,Commercial Vehicles,EV Sales,Buses,BEV,2022,Charging Point,47840.24,1937
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2021,Percent,6733.93,3859
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2023,Percent,40694.74,15852
Colorado,Passenger Vehicles,EV Sales,Vans,BEV,2022,Percent,32556.25,2177
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2024,Percent,39595.66,25572
Nevada,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,47527.93,24414
Illinois,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Percent,24858,3975
